student_id,minutes_watched,paid_in_q2
156756,0.05,0
156758,2.43,0
156802,3.88,0
156811,60.12,0
156818,29.97,0
156829,0.47,0
156830,4.4,0
156851,27.93,0
156857,25.0,0
156894,97.98,0
156909,0.27,0
156923,13.87,0
156926,6.4,0
156963,33.17,0
156976,100.3,0
156986,0.88,0
156990,41.73,0
156994,0.05,0
157001,0.82,0
157003,0.42,0
157005,0.17,0
157011,0.33,0
157013,11.6,0
157019,824.35,0
157020,5.37,0
157022,31.28,0
157038,0.08,0
157051,6.55,0
157061,0.07,0
157071,5.68,0
157075,67.85,0
157079,0.65,0
157084,3.2,0
157097,6.08,0
157100,50.45,0
157101,1.07,0
157103,0.73,0
157106,4.37,0
157124,37.57,0
157129,0.17,0
157135,0.7,0
157137,0.52,0
157138,59.4,0
157145,0.4,0
157168,80.0,0
157176,1.38,0
157177,17.7,0
157187,0.52,0
157195,0.95,0
157197,2.83,0
157236,75.33,0
157240,97.42,0
157261,1.1,0
157267,0.82,0
157270,0.17,0
157282,12.07,0
157286,12.45,0
157287,5.65,0
157298,23.77,0
157312,69.33,0
157316,2.23,0
157333,33.9,0
157347,18.6,0
157351,1.03,0
157359,8.0,0
157363,0.67,0
157376,0.05,0
157386,0.52,0
157392,6.55,0
157395,0.47,0
157396,62.35,0
157404,5.97,0
157406,0.05,0
157431,0.3,0
157454,0.22,0
157472,6.05,0
157474,2.25,0
157478,0.58,0
157498,48.55,0
157508,8.37,0
157515,0.45,0
157517,72.72,0
157521,25.47,0
157524,7.1,0
157528,199.95,0
157542,17.85,0
157544,38.5,0
157577,43.12,0
157590,2.75,0
157591,1.97,0
157609,18.27,0
157610,2.25,0
157611,92.73,0
157616,47.95,0
157626,29.92,0
157629,6.32,0
157633,120.73,0
157645,1.9,0
157648,0.37,0
157654,6.0,0
157658,6.62,0
157663,12.45,0
157672,0.1,0
157691,12.48,0
157705,0.08,0
157729,16.38,0
157737,1.63,0
157741,10.53,0
157742,0.83,0
157751,76.28,0
157763,23.08,0
157765,0.1,0
157800,23.92,0
157815,0.27,0
157820,46.88,0
157829,0.27,0
157858,0.07,0
157864,0.38,0
157866,7.77,0
157874,0.1,0
157898,11.37,0
157908,4.63,0
157912,9.17,0
157927,0.23,0
157938,1.83,0
157959,37.85,0
157961,0.67,0
157967,52.28,0
157970,0.23,0
157976,442.73,0
158000,21.93,0
158006,0.13,0
158025,51.88,0
158030,44.05,0
158036,6.12,0
158037,4.53,0
158041,0.18,0
158047,0.2,0
158050,23.72,0
158068,12.62,0
158093,6.98,0
158109,1.45,0
158111,5.53,0
158124,22.3,0
158129,119.02,0
158134,39.25,0
158136,43.7,0
158138,0.05,0
158145,19.2,0
158156,0.1,0
158165,0.18,0
158177,0.95,0
158182,6.05,0
158185,42.72,0
158208,11.92,0
158220,87.9,0
158230,23.73,0
158235,0.12,0
158236,6.45,0
158241,54.93,0
158267,1.08,0
158301,0.1,0
158306,0.82,0
158344,0.33,0
158349,5.87,0
158350,1.63,0
158371,5.2,0
158377,0.62,0
158379,1.53,0
158381,0.05,0
158383,0.05,0
158386,4.2,0
158395,0.98,0
158396,0.25,0
158406,0.67,0
158409,6.37,0
158430,7.67,0
158451,1.43,0
158452,42.53,0
158454,2.7,0
158462,3.3,0
